Ni_50_4-1_1_25	50	4	314.020300	314.020259	1462534624
1	313.609412	2	259	465	2	2
2	313.609412	2	409	638	2	2
3	313.609412	2	266	435	2	2
4	313.609412	2	114	183	2	2
5	313.609412	2	18	62	2	2
6	313.609412	2	1231	1910	2	2
7	313.609412	2	315	497	2	2
8	313.609412	2	678	1124	2	2
9	313.609412	2	224	404	2	2
10	313.609412	2	424	651	2	2
11	313.609412	2	418	702	2	2
12	313.609412	2	143	217	2	2
13	313.609412	2	240	408	2	2
14	313.609412	2	135	220	2	2
15	313.609412	2	1652	2462	2	2
16	313.609412	2	695	1080	2	2
17	313.609412	2	20	48	2	2
18	313.609412	2	205	363	2	2
19	313.609412	2	394	629	2	2
20	313.609412	2	215	350	2	2
Ni_50_4-1_2_1	50	4	329.294500	329.294478	1462534949
1	328.751515	2	18	51	2	2
2	328.751515	2	38	73	2	2
3	328.751515	2	156	208	2	2
4	328.751515	2	19	45	2	2
5	328.751515	2	270	381	2	2
6	328.751515	2	10	28	2	2
7	328.751515	2	75	117	2	2
8	328.751515	2	3	22	2	2
9	328.751515	2	80	115	2	2
10	328.751515	2	66	95	2	2
11	328.751515	2	235	325	2	2
12	328.751515	2	105	153	2	2
13	328.751515	2	17	40	2	2
14	328.751515	2	74	110	2	2
15	328.751515	2	47	80	2	2
16	328.751515	2	89	129	2	2
17	328.751515	2	81	113	2	2
18	328.751515	2	31	63	2	2
19	328.751515	2	60	98	2	2
20	328.751515	2	36	74	2	2
Ni_50_4-1_2_2	50	4	337.220400	337.220364	1462535001
1	337.220364	4	30	56	1	1
2	337.220364	4	35	54	1	1
3	337.220364	4	121	168	1	1
4	337.220364	4	11	27	1	1
5	337.220364	4	71	104	1	1
6	337.220364	4	54	84	1	1
7	337.220364	4	29	52	1	1
8	337.220364	4	20	42	1	1
9	337.220364	4	25	43	1	1
10	337.220364	4	68	94	1	1
11	337.220364	4	46	70	1	1
12	337.220364	4	17	33	1	1
13	337.220364	4	56	87	1	1
14	337.220364	4	49	80	1	1
15	337.220364	4	98	138	1	1
16	337.220364	4	1	15	1	1
17	337.220364	4	9	27	1	1
18	337.220364	4	14	30	1	1
19	337.220364	4	98	135	1	1
20	337.220364	4	147	194	1	1
Ni_50_4-1_2_3	50	4	391.413500	391.413428	1462535051
1	391.283856	4	196	259	2	2
2	391.283856	4	231	306	2	2
3	391.283856	4	120	158	2	2
4	391.283856	4	480	614	2	2
5	391.283856	4	69	99	2	2
6	391.283856	4	74	108	2	2
7	391.283856	4	401	524	2	2
8	391.283856	4	1199	1453	2	2
9	391.283856	4	348	424	2	2
10	391.283856	4	318	401	2	2
11	391.283856	4	62	99	2	2
12	391.283856	4	76	104	2	2
13	391.283856	4	289	367	2	2
14	391.283856	4	268	341	2	2
15	391.283856	4	57	80	2	2
16	391.283856	4	28	50	2	2
17	391.283856	4	787	978	2	2
18	391.283856	4	184	244	2	2
19	391.283856	4	65	93	2	2
20	391.283856	4	1329	1621	2	2
Ni_50_4-1_2_4	50	4	296.654900	296.654903	1462535100
1	296.654903	2	150	247	1	1
2	296.654903	2	99	149	1	1
3	296.654903	2	26	48	1	1
4	296.654903	2	19	43	1	1
5	296.654903	2	6	32	1	1
6	296.654903	2	12	38	1	1
7	296.654903	2	30	55	1	1
8	296.654903	2	75	111	1	1
9	296.654903	2	4	26	1	1
10	296.654903	2	42	72	1	1
11	296.654903	2	36	70	1	1
12	296.654903	2	47	82	1	1
13	296.654903	2	21	47	1	1
14	296.654903	2	64	100	1	1
15	296.654903	2	26	53	1	1
16	296.654903	2	51	98	1	1
17	296.654903	2	41	79	1	1
18	296.654903	2	54	93	1	1
19	296.654903	2	53	84	1	1
20	296.654903	2	34	68	1	1
Ni_50_4-1_2_5	50	4	391.169800	391.169811	1462535152
1	391.169811	4	112	184	1	1
2	391.169811	4	6	25	1	1
3	391.169811	4	16	39	1	1
4	391.169811	4	22	53	1	1
5	391.169811	4	13	37	1	1
6	391.169811	4	33	64	1	1
7	391.169811	4	11	31	1	1
8	391.169811	4	15	42	1	1
9	391.169811	4	23	51	1	1
10	391.169811	4	83	123	1	1
11	391.169811	4	30	66	1	1
12	391.169811	4	19	43	1	1
13	391.169811	4	32	60	1	1
14	391.169811	4	52	99	1	1
15	391.169811	4	15	38	1	1
16	391.169811	4	63	100	1	1
17	391.169811	4	7	30	1	1
18	391.169811	4	12	36	1	1
19	391.169811	4	33	69	1	1
20	391.169811	4	35	65	1	1
Ni_50_4-1_2_6	50	4	372.231300	372.231276	1462535206
1	368.243842	1	265	414	2	2
2	368.243842	1	22	50	2	2
3	368.243842	1	49	88	2	2
4	368.243842	1	828	1160	2	2
5	368.243842	1	492	695	2	2
6	368.243842	1	483	696	2	2
7	368.243842	1	316	456	2	2
8	368.243842	1	424	715	2	2
9	368.243842	1	160	260	2	2
10	368.243842	1	130	226	2	2
11	368.243842	1	96	174	2	2
12	368.243842	1	628	916	2	2
13	368.243842	1	59	98	2	2
14	368.243842	1	614	872	2	2
15	368.243842	1	676	1029	2	2
16	368.243842	1	174	242	2	2
17	368.243842	1	683	971	2	2
18	368.243842	1	115	178	2	2
19	368.243842	1	952	1327	2	2
20	368.243842	1	216	337	2	2
Ni_50_4-1_2_7	50	4	348.849800	348.849761	1462535264
1	346.892320	4	5	20	2	2
2	346.892320	4	204	286	2	2
3	346.892320	4	34	53	2	2
4	346.892320	4	469	630	2	2
5	346.892320	4	62	95	2	2
