Ni_8_2-1_1_1	8	2	149.574700	149.574645	1462509080
1	149.574645	2	0	1	1	1
2	149.574645	2	0	0	1	1
3	149.574645	2	0	0	1	1
4	149.574645	2	0	0	1	1
5	149.574645	2	0	0	1	1
6	149.574645	2	0	0	1	1
7	149.574645	2	0	0	1	1
8	149.574645	2	0	0	1	1
9	149.574645	2	0	0	1	1
10	149.574645	2	0	0	1	1
11	149.574645	2	0	0	1	1
12	149.574645	2	0	0	1	1
13	149.574645	2	0	0	1	1
14	149.574645	2	0	0	1	1
15	149.574645	2	0	0	1	1
16	149.574645	2	0	0	1	1
17	149.574645	2	0	0	1	1
18	149.574645	2	0	0	1	1
19	149.574645	2	0	0	1	1
20	149.574645	2	0	0	1	1
Ni_8_2-1_1_2	8	2	134.877500	134.877454	1462509080
1	134.877454	1	0	1	1	1
2	134.877454	1	0	0	1	1
3	134.877454	1	0	0	1	1
4	134.877454	1	0	0	1	1
5	134.877454	1	0	0	1	1
6	134.877454	1	0	0	1	1
7	134.877454	1	0	0	1	1
8	134.877454	1	0	0	1	1
9	134.877454	1	0	0	1	1
10	134.877454	1	0	0	1	1
11	134.877454	1	0	0	1	1
12	134.877454	1	0	0	1	1
13	134.877454	1	0	0	1	1
14	134.877454	1	0	0	1	1
15	134.877454	1	0	0	1	1
16	134.877454	1	0	0	1	1
17	134.877454	1	0	0	1	1
18	134.877454	1	0	0	1	1
19	134.877454	1	0	0	1	1
20	134.877454	1	0	0	1	1
Ni_8_2-1_1_3	8	2	135.411200	135.411204	1462509080
1	135.411204	1	0	0	1	1
2	135.411204	1	0	0	1	1
3	135.411204	1	0	0	1	1
4	135.411204	1	0	0	1	1
5	135.411204	1	0	0	1	1
6	135.411204	1	0	0	1	1
7	135.411204	1	0	0	1	1
8	135.411204	1	0	0	1	1
9	135.411204	1	0	0	1	1
10	135.411204	1	0	0	1	1
11	135.411204	1	0	0	1	1
12	135.411204	1	0	0	1	1
13	135.411204	1	0	0	1	1
14	135.411204	1	0	0	1	1
15	135.411204	1	0	0	1	1
16	135.411204	1	0	0	1	1
17	135.411204	1	0	0	1	1
18	135.411204	1	0	0	1	1
19	135.411204	1	0	0	1	1
20	135.411204	1	0	0	1	1
Ni_8_2-1_1_4	8	2	75.563450	75.563450	1462509080
1	75.563450	1	0	0	1	1
2	75.563450	1	0	0	1	1
3	75.563450	1	0	0	1	1
4	75.563450	1	0	0	1	1
5	75.563450	1	0	0	1	1
6	75.563450	1	0	0	1	1
7	75.563450	1	0	0	1	1
8	75.563450	1	0	0	1	1
9	75.563450	1	0	0	1	1
10	75.563450	1	0	0	1	1
11	75.563450	1	0	0	1	1
12	75.563450	1	0	0	1	1
13	75.563450	1	0	0	1	1
14	75.563450	1	0	0	1	1
15	75.563450	1	0	0	1	1
16	75.563450	1	0	0	1	1
17	75.563450	1	0	0	1	1
18	75.563450	1	0	1	1	1
19	75.563450	1	0	0	1	1
20	75.563450	1	0	0	1	1
Ni_8_2-1_1_5	8	2	122.633800	122.633748	1462509080
1	122.633748	1	0	0	1	1
2	122.633748	1	0	0	1	1
3	122.633748	1	0	0	1	1
4	122.633748	1	0	0	1	1
