Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460906273
1	126.656591	5	744	789	2	2
2	127.221000	6	86	84	1	1
3	126.656591	5	773	665	2	2
4	126.656591	5	158	127	2	2
5	126.656591	5	1685	1400	2	2
6	126.656591	5	1423	1147	2	2
7	127.221000	6	98	87	1	1
8	126.656591	5	302	273	2	2
9	126.656591	5	1187	904	2	2
10	126.656591	5	1527	1252	2	2
11	126.656591	5	1032	827	2	2
12	126.656591	5	484	374	2	2
13	126.656591	5	1166	922	2	2
14	127.221000	6	5	6	1	1
15	127.221000	6	72	67	1	1
16	126.656591	5	74	64	2	2
17	127.221000	6	696	558	1	1
18	126.656591	5	1008	779	2	2
19	127.221000	6	33	31	1	1
20	126.656591	5	835	654	2	2
21	126.656591	5	158	122	2	2
22	126.656591	5	382	321	2	2
23	127.221000	6	221	199	1	1
24	126.656591	5	28	24	2	2
25	126.656591	5	1252	1018	2	2
26	127.221000	6	286	255	1	1
27	127.097198	5	1984	1697	2	2
28	127.221000	6	263	265	1	1
29	126.905003	1	329	273	2	2
30	127.221000	6	451	424	1	1
31	127.221000	6	310	277	1	1
32	126.656591	5	1124	969	2	2
33	127.221000	6	244	205	1	1
34	127.221000	6	94	86	1	1
35	127.221000	6	339	279	1	1
36	126.905003	1	1290	1088	2	2
37	127.221000	6	98	92	1	1
38	127.221000	6	62	53	1	1
39	126.905003	1	1106	979	2	2
40	127.221000	6	466	417	1	1
41	126.656591	5	284	245	2	2
42	126.131913	4	1592	1393	2	2
43	127.221000	6	13	13	1	1
44	126.656591	5	1422	1244	2	2
45	126.656591	5	675	536	2	2
46	126.656591	5	486	450	2	2
47	127.097198	5	221	203	2	2
48	126.656591	5	267	216	2	2
49	126.656591	5	326	271	2	2
50	127.221000	6	7	8	1	1
51	127.221000	6	28	23	1	1
52	126.656591	5	1099	908	2	2
53	127.221000	6	94	77	1	1
54	127.221000	6	326	279	1	1
55	127.221000	6	199	164	1	1
56	126.656591	5	1932	1625	2	2
57	127.221000	6	249	226	1	1
58	127.221000	6	144	108	1	1
59	127.097198	5	1104	984	2	2
60	126.656591	5	1584	1434	2	2
61	127.221000	6	102	80	1	1
62	126.656591	5	330	292	2	2
63	126.656591	5	228	200	2	2
64	126.656591	5	1452	1264	2	2
65	126.905003	1	1318	1132	2	2
66	126.656591	5	834	745	2	2
67	127.221000	6	282	240	1	1
68	127.221000	6	68	59	1	1
69	127.097198	5	1838	1506	2	2
70	127.221000	6	55	42	1	1
71	126.656591	5	678	514	2	2
72	127.221000	6	103	74	1	1
73	127.221000	6	43	47	1	1
74	126.905003	1	1654	1321	2	2
75	127.221000	6	122	112	1	1
76	126.656591	5	1883	1550	2	2
77	126.656591	5	829	697	2	2
78	127.221000	6	417	385	1	1
79	127.221000	6	50	45	1	1
80	126.905003	1	1439	1176	2	2
81	127.221000	6	28	26	1	1
82	126.656591	5	296	200	2	2
83	127.221000	6	448	407	1	1
84	126.656591	5	963	809	2	2
85	126.656591	5	173	147	2	2
86	126.131913	4	1085	914	2	2
87	126.656591	5	134	106	2	2
88	126.656591	5	1246	1117	2	2
89	127.221000	6	228	183	1	1
90	127.221000	6	233	217	1	1
91	127.221000	6	55	38	1	1
92	127.221000	6	392	353	1	1
93	127.221000	6	404	346	1	1
94	126.905003	1	984	843	2	2
95	126.656591	5	389	391	2	2
96	127.221000	6	381	351	1	1
97	126.656591	5	1007	797	2	2
98	126.656591	5	1542	1270	2	2
99	127.221000	6	104	87	1	1
100	127.221000	6	28	19	1	1
Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460907151
