Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460908391
1	127.221000	6	379	395	1	1
2	126.656591	5	761	730	2	2
3	126.656591	5	1315	1148	2	2
4	126.656591	5	1413	1157	2	2
5	127.221000	6	265	209	1	1
6	126.656591	5	296	275	2	2
7	126.656591	5	516	446	2	2
8	127.221000	6	79	64	1	1
9	127.221000	6	177	143	1	1
10	126.656591	5	682	568	2	2
11	126.656591	5	1339	1136	2	2
12	126.656591	5	481	422	2	2
13	126.656591	5	1190	970	2	2
14	126.905003	1	672	590	2	2
15	127.221000	6	187	160	1	1
16	126.656591	5	1158	990	2	2
17	126.656591	5	110	88	2	2
18	127.221000	6	305	270	1	1
19	127.221000	6	359	334	1	1
20	126.656591	5	190	177	2	2
21	127.221000	6	127	119	1	1
22	126.656591	5	22	20	2	2
23	126.120749	6	814	696	2	2
24	127.221000	6	256	234	1	1
25	126.656591	5	1119	944	2	2
26	126.648327	5	117	106	2	2
27	127.221000	6	230	188	1	1
28	126.656591	5	752	600	2	2
29	126.656591	5	1985	1643	2	2
30	126.656591	5	75	72	2	2
31	126.905003	1	1509	1341	2	2
32	126.656591	5	1777	1879	2	2
33	126.656591	5	929	960	2	2
34	127.221000	6	34	44	1	1
35	126.656591	5	1870	1747	2	2
36	126.905003	1	1505	1478	2	2
37	127.221000	6	90	89	1	1
38	127.221000	6	22	20	1	1
39	126.656591	5	1158	1364	2	2
40	127.221000	6	94	146	1	1
41	126.656591	5	1641	1752	2	2
42	126.131913	4	425	361	2	2
43	127.221000	6	210	191	1	1
44	127.221000	6	220	190	1	1
45	126.656591	5	1124	1014	2	2
46	126.656591	5	1435	1724	2	2
47	126.648327	5	789	1211	2	2
48	126.131913	4	1875	1824	2	2
49	127.221000	6	70	62	1	1
50	126.656591	5	1273	1126	2	2
51	126.656591	5	805	873	2	2
52	126.656591	5	608	607	2	2
53	127.221000	6	109	93	1	1
54	127.221000	6	39	30	1	1
55	126.656591	5	1846	1705	2	2
56	126.905003	1	426	443	2	2
57	126.656591	5	333	343	2	2
58	126.905003	1	896	797	2	2
59	127.221000	6	57	55	1	1
60	126.656591	5	338	305	2	2
61	127.221000	6	310	276	1	1
62	126.656591	5	1481	1355	2	2
63	127.221000	6	139	139	1	1
64	127.221000	6	146	123	1	1
65	126.656591	5	1190	1029	2	2
66	127.221000	6	49	32	1	1
67	126.656591	5	1011	882	2	2
68	126.656591	5	834	730	2	2
69	127.221000	6	80	77	1	1
70	126.905003	1	1814	1662	2	2
71	126.656591	5	77	74	2	2
72	126.131913	4	940	871	2	2
73	126.656591	5	1844	1578	2	2
74	126.656591	5	1841	1678	2	2
75	126.131913	4	942	889	2	2
76	126.656591	5	964	851	2	2
77	127.221000	6	172	158	1	1
78	127.221000	6	166	145	1	1
79	127.221000	6	105	104	1	1
80	127.221000	6	261	238	1	1
81	126.656591	5	1894	1753	2	2
82	126.656591	5	141	124	2	2
83	127.221000	6	430	359	1	1
84	127.221000	6	858	694	1	1
85	127.221000	6	65	65	1	1
86	126.656591	5	137	108	2	2
87	127.221000	6	33	36	1	1
88	126.656591	5	1462	1248	2	2
89	126.656591	5	367	290	2	2
90	126.656591	5	757	662	2	2
91	126.656591	5	469	427	2	2
92	126.656591	5	106	82	2	2
93	126.656591	5	1051	885	2	2
94	126.905003	1	1500	1235	2	2
95	126.656591	5	1048	872	2	2
96	126.656591	5	345	324	2	2
97	127.097198	5	1057	939	2	2
98	126.656591	5	1583	1359	2	2
99	127.221000	6	155	143	1	1
100	127.221000	6	145	116	1	1
