Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460910965
1	126.656591	5	682	647	2	2
2	126.905003	1	1073	911	2	2
3	126.656591	5	989	749	2	2
4	126.656591	5	114	83	2	2
5	127.221000	6	128	90	1	1
6	126.656591	5	556	429	2	2
7	127.221000	6	75	53	1	1
8	126.656591	5	443	364	2	2
9	127.221000	6	89	68	1	1
10	127.097198	5	1787	1402	2	2
11	126.656591	5	957	767	2	2
12	127.221000	6	18	19	1	1
13	126.656591	5	1862	1334	2	2
14	127.221000	6	123	94	1	1
15	127.221000	6	144	103	1	1
16	126.656591	5	570	393	2	2
17	126.905003	1	1722	1272	2	2
18	126.656591	5	1516	1088	2	2
19	126.656591	5	934	680	2	2
20	126.656591	5	6	6	2	2
21	126.905003	1	1130	827	2	2
22	126.656591	5	948	692	2	2
23	126.656591	5	306	214	2	2
24	126.905003	1	1882	1794	2	2
25	127.221000	6	75	64	1	1
26	127.221000	6	143	114	1	1
27	126.131913	4	1446	1089	2	2
28	126.656591	5	1726	1353	2	2
29	126.656591	5	359	268	2	2
30	126.656591	5	729	601	2	2
31	127.221000	6	132	105	1	1
32	126.656591	5	391	294	2	2
33	127.221000	6	110	90	1	1
34	126.656591	5	1175	902	2	2
35	126.656591	5	36	35	2	2
36	126.656591	5	207	147	2	2
37	127.221000	6	186	149	1	1
38	126.905003	1	941	730	2	2
39	127.221000	6	301	213	1	1
40	126.905003	1	1277	952	2	2
41	126.905003	1	1842	1604	2	2
42	126.905003	1	1958	1658	2	2
43	126.656591	5	1254	1071	2	2
44	126.656591	5	1262	1117	2	2
45	127.221000	6	29	30	1	1
46	126.656591	5	109	89	2	2
47	127.221000	6	231	185	1	1
48	127.221000	6	232	184	1	1
49	126.656591	5	1920	1452	2	2
50	127.221000	6	38	34	1	1
51	126.656591	5	466	358	2	2
52	126.131913	4	727	529	2	2
53	127.221000	6	33	30	1	1
54	127.221000	6	545	447	1	1
55	126.656591	5	632	493	2	2
56	126.905003	1	1874	1477	2	2
57	126.905003	1	925	715	2	2
58	126.656591	5	279	215	2	2
59	126.656591	5	455	351	2	2
60	127.221000	6	6	8	1	1
61	127.221000	6	41	27	1	1
62	126.656591	5	77	62	2	2
63	127.221000	6	49	39	1	1
64	126.656591	5	1788	1373	2	2
65	126.656591	5	1395	1039	2	2
66	126.656591	5	158	132	2	2
67	126.656591	5	180	136	2	2
68	127.097198	5	1572	1180	2	2
69	126.656591	5	364	278	2	2
70	126.656591	5	554	427	2	2
71	127.221000	6	223	176	1	1
72	126.656591	5	744	580	2	2
73	127.221000	6	216	205	1	1
74	126.656591	5	1308	1006	2	2
75	127.221000	6	14	11	1	1
76	127.221000	6	210	144	1	1
77	126.656591	5	482	353	2	2
78	126.656591	5	1333	960	2	2
79	126.656591	5	248	190	2	2
80	126.656591	5	447	300	2	2
81	127.221000	6	21	15	1	1
82	127.221000	6	60	42	1	1
83	127.221000	6	375	265	1	1
84	127.221000	6	118	112	1	1
85	127.221000	6	80	63	1	1
86	126.656591	5	639	483	2	2
87	126.656591	5	1230	881	2	2
88	126.656591	5	1119	837	2	2
89	127.221000	6	157	130	1	1
90	126.656591	5	1221	918	2	2
91	126.656591	5	1544	1219	2	2
92	126.131913	4	1745	1334	2	2
93	127.221000	6	175	135	1	1
94	126.656591	5	518	401	2	2
95	126.656591	5	1749	1350	2	2
96	126.656591	5	1427	1061	2	2
97	126.656591	5	1800	1337	2	2
98	126.656591	5	639	490	2	2
99	127.221000	6	142	117	1	1
100	126.656591	5	285	213	2	2
