Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460968442
1	126.120749	6	1209	760	2	2
2	126.656591	5	1213	798	2	2
3	126.131913	4	1199	699	2	2
4	126.656591	5	619	380	2	2
5	127.221000	6	311	210	1	1
6	126.656591	5	736	663	2	2
7	126.905003	1	1321	882	2	2
8	126.120749	6	1801	1021	2	2
9	126.905003	1	1275	701	2	2
10	126.656591	5	262	143	2	2
11	127.221000	6	405	237	1	1
12	126.656591	5	108	60	2	2
13	127.221000	6	293	183	1	1
14	127.221000	6	452	246	1	1
15	126.131913	4	652	350	2	2
16	127.221000	6	56	28	1	1
17	126.656591	5	446	250	2	2
18	127.221000	6	161	81	1	1
19	126.656591	5	1676	869	2	2
20	126.656591	5	1539	832	2	2
21	126.905003	1	1347	738	2	2
22	126.656591	5	805	428	2	2
23	126.656591	5	1323	673	2	2
24	126.656591	5	324	165	2	2
25	126.905003	1	1238	724	2	2
26	127.221000	6	59	36	1	1
27	126.656591	5	186	114	2	2
28	126.656591	5	1884	983	2	2
29	126.656591	5	1099	562	2	2
30	126.656591	5	1141	653	2	2
31	126.656591	5	105	50	2	2
32	126.656591	5	1162	636	2	2
33	126.656591	5	424	220	2	2
34	127.221000	6	47	25	1	1
35	126.656591	5	770	418	2	2
36	127.221000	6	86	51	1	1
37	127.097198	5	1515	871	2	2
38	126.656591	5	1610	992	2	2
39	126.120749	6	500	277	2	2
40	126.131913	4	1466	772	2	2
41	126.656591	5	339	193	2	2
42	127.221000	6	56	36	1	1
43	126.131913	4	1741	955	2	2
44	126.656591	5	1469	766	2	2
45	126.656591	5	1949	997	2	2
46	127.221000	6	240	126	1	1
47	126.656591	5	763	393	2	2
48	126.656591	5	235	128	2	2
49	127.221000	6	88	46	1	1
50	126.656591	5	1553	821	2	2
51	126.905003	1	1634	889	2	2
52	126.656591	5	909	485	2	2
53	127.221000	6	770	418	1	1
54	127.221000	6	113	72	1	1
55	126.656591	5	661	358	2	2
56	126.656591	5	944	489	2	2
57	126.648327	5	999	533	2	2
58	126.656591	5	626	332	2	2
59	126.656591	5	583	304	2	2
60	126.656591	5	167	92	2	2
61	126.656591	5	26	17	2	2
62	126.656591	5	1532	826	2	2
63	126.905003	1	513	266	2	2
64	126.905003	1	390	209	2	2
65	126.656591	5	1126	615	2	2
66	126.656591	5	244	118	2	2
67	127.221000	6	70	36	1	1
68	127.221000	6	48	25	1	1
69	126.905003	1	866	437	2	2
70	127.221000	6	45	26	1	1
71	126.656591	5	176	98	2	2
72	127.221000	6	17	10	1	1
73	126.656591	5	1692	903	2	2
74	126.656591	5	1156	624	2	2
75	127.221000	6	73	42	1	1
76	127.221000	6	117	71	1	1
77	126.656591	5	1303	700	2	2
78	126.656591	5	467	246	2	2
79	126.656591	5	1292	718	2	2
80	126.656591	5	26	15	2	2
81	126.656591	5	635	332	2	2
82	126.905003	1	972	515	2	2
83	126.656591	5	1715	931	2	2
84	126.656591	5	1295	691	2	2
85	126.656591	5	1965	1060	2	2
86	127.221000	6	79	41	1	1
87	126.656591	5	62	34	2	2
88	127.221000	6	220	105	1	1
89	126.656591	5	768	406	2	2
90	126.656591	5	1007	561	2	2
91	127.221000	6	28	15	1	1
92	127.221000	6	999	538	1	1
93	126.131913	4	1965	1066	2	2
94	127.221000	6	33	17	1	1
95	126.656591	5	1173	672	2	2
96	126.656591	5	131	74	2	2
97	126.131913	4	1183	635	2	2
98	127.097198	5	1564	860	2	2
99	126.656591	5	1611	876	2	2
100	126.656591	5	547	396	2	2
