(*iter)->filename  	  (*iter)->n  	  (*iter)->m  	(*iter)->opt_obj_given  	  (*iter)->opt_obj_real  	  opt_best_map.at((*iter)->filename)  	(*iter)->rand_seed  	  (*iter)->sol_info_vec.size()  	tct[0]  	  tct[1]  	  tct[2]  	obj[0]  	  obj[1]  	  obj[2]  	iteration[0]  	  iteration[1]  	  iteration[2]  	tm[0]  	  tm[1]  	  tm[2]  	cmp_give_result_cnt[0]  	  cmp_give_result_cnt[1]  	  cmp_give_result_cnt[2]  	cmp_real_result_cnt[0]  	  cmp_real_result_cnt[1]  	  cmp_real_result_cnt[2]  	hit_cnt
Ni_8_2-1_1_1	8	2	149.574700	297.979333	149.574645	1489672894	20	276.092436	276.092436	276.092436	163.325098	163.325098	163.325098	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-1_1_2	8	2	134.877500	262.546612	134.877454	1489672895	20	234.670617	234.670617	234.670617	179.851969	179.851969	179.851969	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-1_1_3	8	2	135.411200	267.769892	135.411204	1489672896	20	246.992932	246.992932	246.992932	177.644407	177.644407	177.644407	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-1_1_4	8	2	75.563450	146.527384	75.563450	1489672897	20	126.913779	126.913779	126.913779	78.473522	78.473522	78.473522	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-1_1_5	8	2	122.633800	232.932430	122.633748	1489672898	20	203.364180	203.364180	203.364180	128.373541	128.373541	128.373541	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-1_1_6	8	2	140.173100	261.613587	140.173104	1489672899	20	261.613587	261.613587	261.613587	140.173104	140.173104	140.173104	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	20	0	0	0	20	20
Ni_8_2-1_1_7	8	2	198.727000	389.861824	198.726974	1489672899	20	347.314836	347.314836	347.314836	307.312288	307.312288	307.312288	0.000000	0.000000	0.000000	0.000000	0.100000	1.000000	0	0	20	0	0	20	0
Ni_8_2-1_1_8	8	2	138.996300	275.653419	138.996336	1489672900	20	262.722611	262.722611	262.722611	214.402611	214.402611	214.402611	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-1_1_9	8	2	172.107900	341.714658	172.107905	1489672901	20	315.111900	315.111900	315.111900	238.709608	238.709608	238.709608	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-1_1_10	8	2	212.635600	409.287044	212.635622	1489672902	20	392.455753	392.455753	392.455753	297.296961	297.296961	297.296961	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-1_1_11	8	2	158.547400	309.515105	158.547370	1489672903	20	281.293312	281.293312	281.293312	223.132927	223.132927	223.132927	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-1_1_12	8	2	166.841800	313.702363	166.841771	1489672903	20	313.702363	313.702363	313.702363	166.841771	166.841771	166.841771	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	20	0	0	0	20	20
Ni_8_2-1_1_13	8	2	149.109500	292.316543	149.109537	1489672904	20	261.550440	261.550440	261.550440	150.706395	150.706395	150.706395	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-1_1_14	8	2	136.146200	253.950662	136.146211	1489672905	20	253.950662	253.950662	253.950662	136.146211	136.146211	136.146211	0.000000	0.000000	0.000000	0.000000	0.100000	1.000000	0	20	0	0	0	20	20
Ni_8_2-1_1_15	8	2	142.977400	247.580688	142.977396	1489672906	20	247.580688	247.580688	247.580688	142.977396	142.977396	142.977396	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	20	0	0	0	20	20
Ni_8_2-1_1_16	8	2	142.063800	271.609761	142.063846	1489672907	20	266.070536	266.070536	266.070536	173.358896	173.358896	173.358896	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-1_1_17	8	2	161.298000	309.659089	161.297992	1489672908	20	276.323253	276.323253	276.323253	167.208895	167.208895	167.208895	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-1_1_18	8	2	150.291100	296.104259	150.291095	1489672909	20	293.477781	293.477781	293.477781	212.972723	212.972723	212.972723	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-1_1_19	8	2	194.178800	385.647560	194.178765	1489672910	20	385.418169	385.418169	385.418169	233.270899	233.270899	233.270899	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-1_1_20	8	2	122.064100	231.254669	122.064140	1489672910	20	231.254669	231.254669	231.254669	122.064140	122.064140	122.064140	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	20	0	0	0	20	20
Ni_8_2-1_1_21	8	2	232.544300	454.696465	232.544248	1489672911	20	447.090514	447.090514	447.090514	382.584415	382.584415	382.584415	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-1_1_22	8	2	106.770100	207.901575	106.770107	1489672912	20	207.901575	207.901575	207.901575	106.770107	106.770107	106.770107	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	20	0	0	0	20	20
Ni_8_2-1_1_23	8	2	146.390100	281.439113	146.390064	1489672913	20	281.439113	281.439113	281.439113	146.390064	146.390064	146.390064	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	20	0	0	0	20	20
Ni_8_2-1_1_24	8	2	143.454600	283.027525	143.454618	1489672914	20	268.050354	268.050354	268.050354	157.106075	157.106075	157.106075	0.000000	0.000000	0.000000	0.000000	0.100000	1.000000	0	0	20	0	0	20	0
Ni_8_2-1_1_25	8	2	151.811000	273.153058	151.810994	1489672915	20	273.153058	273.153058	273.153058	151.810994	151.810994	151.810994	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	20	0	0	0	20	20
Ni_8_2-1_2_1	8	2	160.652500	315.950152	160.652474	1489672916	20	305.673746	305.673746	305.673746	238.494916	238.494916	238.494916	0.000000	0.000000	0.000000	0.000000	0.100000	1.000000	0	0	20	0	0	20	0
