fnr 	f[OB] 	 d[OB] 	 h[OB] 	 t[OB] 	cmp_give[OB][IMPROVED] 	cmp_give[OB][EQUAL] 	cmp_give[OB][NONIMPROVED] 	f[BB] 	 d[BB] 	 h[BB] 	 t[BB] 	cmp_give[BB][IMPROVED] 	cmp_give[BB][EQUAL] 	cmp_give[BB][NONIMPROVED]
results\hma1_p13_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	-536.411833	0	900	0	463.876555	0.075814	89.961111	-6744.575833	388	512	0
results\hma2_p13_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.391722	0	900	0	463.872191	0.074549	89.961111	866.294000	388	512	0
results\hma3_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.552778	0	900	0	463.890579	0.086748	88.388889	722.071611	388	512	0
results\hma4_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.354333	0	900	0	463.856008	0.060503	91.388889	928.789833	388	512	0
results\hma5_tri_insert_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.715500	0	900	0	463.878592	0.058523	90.416667	990.370944	387	513	0
results\hma6_tri_insert_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.355222	0	900	0	463.826043	0.030928	94.177778	920.956222	388	512	0
results\hma7_tri_swap_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.350222	0	900	0	463.822451	0.029423	94.505556	1313.123444	388	512	0
results\hma8_tri_insert_swap_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	-459.275556	0	900	0	463.814433	0.019765	95.383333	-23856.345222	388	512	0
results\hma9_tri_insert_swap_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.367889	0	900	0	463.818073	0.018684	95.244444	167.891778	388	512	0
results\hma9_tri_insert_swap_p20_itr2000_ptr30_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.484333	0	900	0	463.837546	0.028478	94.161111	142.116667	388	512	0
results\hma10_tri_insert_swap_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.622111	0	900	0	463.889854	0.056338	90.072222	150.755722	388	511	1
results\hma11_tri_insert_swap_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.346500	0	900	0	463.817750	0.021977	95.166667	167.575000	388	512	0
results\hma12_pms_s_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.327944	0	900	0	463.823038	0.032582	94.516667	166.430778	388	512	0
results\hma13_pms_i_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.375778	0	900	0	463.826511	0.029349	94.094444	141.102278	388	512	0
results\hma14_pms_non_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.332111	0	900	0	463.847858	0.058003	91.916667	142.062722	388	512	0
results\hma15_pms_ufx_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.856308	-0.000000	99.888889	0.354556	0	899	1	463.821085	0.024583	95.238889	175.747500	388	512	0
results\hma16_pms_mpx_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.337778	0	900	0	463.815565	0.020759	95.683333	152.519000	388	512	0
results\hma17_pms_puqd_mpx_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.389000	0	900	0	463.819031	0.017454	95.577778	147.957111	388	512	0
results\hma17_pms_puqd_is_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.372833	0	900	0	463.818788	0.017795	95.327778	154.483000	388	512	0
results\hma18_pms_nodc_mpx_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.863075	0.016855	99.800000	0.631333	0	899	1	463.838180	0.034364	93.905556	125.412778	387	513	0
results\hma19_pms_puqd_i_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.362056	0	900	0	463.833072	0.029269	93.972222	134.472111	388	512	0
results\hma19_pms_puqd_s_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.398500	0	900	0	463.828201	0.026137	94.416667	162.550833	388	512	0
results\hma20_pms_puqd_non_p20_itr2000_ptr50_rm1_ns0_t50_cp95_r1_r20.txt	360.846879	-0.000000	100.000000	0.411500	0	900	0	463.843870	0.047051	92.483333	131.396278	388	512	0
