Ni_50_7-1_2_1	50	7	127.221000	127.221000	1460969764
1	126.648327	5	1563	997	2	2
2	126.656591	5	184	98	2	2
3	127.221000	6	372	207	1	1
4	127.221000	6	694	387	1	1
5	126.905003	1	1608	903	2	2
6	127.221000	6	42	21	1	1
7	127.221000	6	61	36	1	1
8	127.221000	6	280	173	1	1
9	127.221000	6	62	40	1	1
10	126.656591	5	1999	1111	2	2
11	126.656591	5	1377	784	2	2
12	126.656591	5	487	277	2	2
13	126.905003	1	995	585	2	2
14	127.221000	6	120	68	1	1
15	126.120749	6	1455	839	2	2
16	127.221000	6	46	25	1	1
17	127.221000	6	1166	672	1	1
18	126.656591	5	906	519	2	2
19	127.221000	6	129	72	1	1
20	126.131913	4	1627	920	2	2
