(*iter)->filename  	  (*iter)->n  	  (*iter)->m  	(*iter)->opt_obj_given  	  (*iter)->opt_obj_real  	(*iter)->rand_seed  	  (*iter)->sol_info_vec.size()  	obj[0]  	  obj[1]  	  obj[2]  	iteration[0]  	  iteration[1]  	  iteration[2]  	tm[0]  	  tm[1]  	  tm[2]  	cmp_give_result_cnt[0]  	  cmp_give_result_cnt[1]  	  cmp_give_result_cnt[2]  	cmp_real_result_cnt[0]  	  cmp_real_result_cnt[1]  	  cmp_real_result_cnt[2]  	
Ni_8_2-1_1_1	8	2	149.575000	149.575000	1460488918	20	149.575000	149.575000	149.575000	0	0	0	0	0	0	0	20	0	0	20	0
Ni_8_2-1_1_2	8	2	134.877000	134.877000	1460488919	20	134.877000	134.877000	134.877000	0	0	0	0	0	0	0	20	0	0	20	0
Ni_8_2-1_1_3	8	2	135.411000	135.411000	1460488919	20	135.411000	135.411000	135.411000	0	0	0	0	0	0	0	20	0	0	20	0
Ni_8_2-1_1_4	8	2	75.563500	75.563500	1460488920	20	75.563500	75.563500	75.563500	0	0	0	0	0	0	0	20	0	0	20	0
Ni_8_2-1_1_5	8	2	122.634000	122.634000	1460488920	20	122.634000	122.634000	122.634000	0	0	0	0	0	0	0	20	0	0	20	0
Ni_8_2-1_1_6	8	2	140.173000	140.173000	1460488920	20	140.173000	140.173000	140.173000	0	0	0	0	0	0	0	20	0	0	20	0
Ni_8_2-1_1_7	8	2	198.727000	198.727000	1460488921	20	198.727000	198.727000	198.727000	0	0	0	0	0	0	0	20	0	0	20	0
Ni_8_2-1_1_8	8	2	138.996000	138.996000	1460488921	20	138.996000	138.996000	138.996000	0	0	0	0	0	0	0	20	0	0	20	0
Ni_8_2-1_1_9	8	2	172.108000	172.108000	1460488921	20	172.108000	172.108000	172.108000	0	0	0	0	0	0	0	20	0	0	20	0
Ni_8_2-1_1_10	8	2	212.636000	212.636000	1460488922	20	212.636000	212.636000	212.636000	0	0	3	0	0	0	0	20	0	0	20	0
Ni_8_2-1_1_11	8	2	158.547000	158.547000	1460488922	20	158.547000	158.547000	158.547000	0	0	0	0	0	1	0	20	0	0	20	0
Ni_8_2-1_1_12	8	2	166.842000	166.842000	1460488923	20	166.842000	166.842000	166.842000	0	0	0	0	0	0	0	20	0	0	20	0
Ni_8_2-1_1_13	8	2	149.109000	149.110000	1460488923	20	149.110000	149.110000	149.110000	0	0	0	0	0	0	0	20	0	0	20	0
Ni_8_2-1_1_14	8	2	136.146000	136.146000	1460488923	20	136.146000	136.146000	136.146000	0	0	0	0	0	0	0	20	0	0	20	0
Ni_8_2-1_1_15	8	2	142.977000	142.977000	1460488924	20	142.977000	142.977000	142.977000	0	0	0	0	0	1	0	20	0	0	20	0
Ni_8_2-1_1_16	8	2	142.064000	142.064000	1460488924	20	142.064000	142.064000	142.064000	0	0	0	0	0	0	0	20	0	0	20	0
Ni_8_2-1_1_17	8	2	161.298000	161.298000	1460488925	20	161.298000	161.298000	161.298000	0	0	0	0	0	1	0	20	0	0	20	0
Ni_8_2-1_1_18	8	2	150.291000	150.291000	1460488925	20	150.291000	150.291000	150.291000	0	0	0	0	0	0	0	20	0	0	20	0
Ni_8_2-1_1_19	8	2	194.179000	194.179000	1460488926	20	194.179000	194.179000	194.179000	0	0	0	0	0	0	0	20	0	0	20	0
Ni_8_2-1_1_20	8	2	122.064000	122.064000	1460488926	20	122.064000	122.064000	122.064000	0	0	0	0	0	0	0	20	0	0	20	0
Ni_8_2-1_1_21	8	2	232.544000	232.544000	1460488926	20	232.544000	232.544000	232.544000	0	0	0	0	0	0	0	20	0	0	20	0
Ni_8_2-1_1_22	8	2	106.770000	106.770000	1460488927	20	106.770000	106.770000	106.770000	0	0	0	0	0	0	0	20	0	0	20	0
Ni_8_2-1_1_23	8	2	146.390000	146.390000	1460488927	20	146.390000	146.390000	146.390000	0	0	0	0	0	0	0	20	0	0	20	0
Ni_8_2-1_1_24	8	2	143.455000	143.455000	1460488928	20	143.455000	143.455000	143.455000	0	2	6	0	0	0	0	20	0	0	20	0
Ni_8_2-1_1_25	8	2	151.811000	151.811000	1460488928	20	151.811000	151.811000	151.811000	0	0	0	0	0	1	0	20	0	0	20	0
