Ni_35_4-1_1_1	35	4	245.140000	245.140033	1461214985
1	245.140033	1	6	4	1	1
2	245.140033	1	7	3	1	1
3	245.140033	1	2	1	1	1
4	245.140033	1	11	5	1	1
5	245.140033	1	121	54	1	1
6	245.140033	1	16	8	1	1
7	245.140033	1	10	6	1	1
8	245.140033	1	2	1	1	1
9	245.140033	1	41	18	1	1
10	245.140033	1	61	33	1	1
11	245.140033	1	34	16	1	1
12	245.140033	1	34	19	1	1
13	245.140033	1	29	17	1	1
14	245.140033	1	23	11	1	1
15	245.140033	1	4	2	1	1
16	245.140033	1	24	10	1	1
17	245.140033	1	31	13	1	1
18	245.140033	1	59	27	1	1
19	245.140033	1	79	38	1	1
20	245.140033	1	54	24	1	1
Ni_35_4-1_1_2	35	4	170.923800	170.923841	1461215003
1	170.923841	2	15	7	1	1
2	170.923841	2	14	6	1	1
3	170.923841	2	46	27	1	1
4	170.923841	2	6	3	1	1
5	170.923841	2	17	8	1	1
6	170.923841	2	37	15	1	1
7	170.923841	2	38	16	1	1
8	170.923841	2	44	17	1	1
9	170.923841	2	1	2	1	1
10	170.923841	2	37	17	1	1
11	170.923841	2	9	4	1	1
12	170.923841	2	44	17	1	1
13	170.923841	2	3	2	1	1
14	170.923841	2	10	4	1	1
15	170.923841	2	43	18	1	1
16	170.923841	2	25	11	1	1
17	170.923841	2	15	7	1	1
18	170.923841	2	23	11	1	1
19	170.923841	2	26	11	1	1
20	170.923841	2	66	31	1	1
Ni_35_4-1_1_3	35	4	176.694300	176.694262	1461215019
1	176.694262	3	17	13	1	1
2	176.694262	3	8	8	1	1
3	176.694262	3	19	10	1	1
4	176.694262	3	15	8	1	1
5	176.694262	3	182	82	1	1
6	176.694262	3	16	9	1	1
7	176.694262	3	55	27	1	1
8	176.694262	3	33	15	1	1
9	176.694262	3	46	21	1	1
10	176.694262	3	90	39	1	1
11	176.694262	3	48	22	1	1
12	176.694262	3	180	85	1	1
13	176.694262	3	27	14	1	1
14	176.694262	3	35	18	1	1
15	176.694262	3	71	32	1	1
16	176.694262	3	81	39	1	1
17	176.694262	3	10	8	1	1
18	176.694262	3	36	16	1	1
19	176.694262	3	72	34	1	1
20	176.694262	3	15	7	1	1
Ni_35_4-1_1_4	35	4	227.253100	579.059049	1461215038
1	227.253114	1	0	1	1	2
2	227.253114	1	0	1	1	2
3	227.253114	1	0	1	1	2
4	227.253114	1	0	0	1	2
5	227.253114	1	0	0	1	2
6	227.253114	1	0	0	1	2
7	227.253114	1	0	0	1	2
8	227.253114	1	0	0	1	2
9	227.253114	1	0	0	1	2
10	227.253114	1	0	1	1	2
11	227.253114	1	0	1	1	2
12	227.253114	1	0	1	1	2
13	227.253114	1	0	0	1	2
14	227.253114	1	0	0	1	2
15	227.253114	1	0	0	1	2
16	227.253114	1	0	0	1	2
17	227.253114	1	0	0	1	2
18	227.253114	1	0	0	1	2
19	227.253114	1	0	1	1	2
20	227.253114	1	0	0	1	2
Ni_35_4-1_1_5	35	4	229.670700	229.670714	1461215057
1	229.670714	3	109	69	1	1
2	229.670714	3	115	48	1	1
3	229.670714	3	36	25	1	1
4	229.670714	3	223	93	1	1
5	229.670714	3	39	16	1	1
6	229.670714	3	26	12	1	1
7	229.670714	3	32	14	1	1
8	229.670714	3	390	174	1	1
9	229.670714	3	110	54	1	1
10	229.670714	3	78	39	1	1
11	229.670714	3	72	31	1	1
12	229.670714	3	90	45	1	1
13	229.670714	3	9	5	1	1
14	229.670714	3	114	47	1	1
15	229.670714	3	124	54	1	1
16	229.670714	3	63	27	1	1
17	229.670714	3	26	15	1	1
18	229.670714	3	133	59	1	1
19	229.670714	3	212	93	1	1
20	229.670714	3	130	54	1	1
Ni_35_4-1_1_6	35	4	228.470600	228.470591	1461215075
1	228.470591	3	0	1	1	1
2	228.470591	3	0	0	1	1
3	228.470591	3	0	0	1	1
4	228.470591	3	0	0	1	1
5	228.470591	3	0	0	1	1
6	228.470591	3	0	0	1	1
7	228.470591	3	0	1	1	1
8	228.470591	3	0	0	1	1
9	228.470591	3	0	0	1	1
10	228.470591	3	0	0	1	1
11	228.470591	3	0	0	1	1
12	228.470591	3	0	0	1	1
13	228.470591	3	0	1	1	1
