Ni_50_7-1_2_1	50	7	127.221000	0.000000	1461601689
1	126.656591	5	1541	1341	2	2
2	126.656591	5	246	196	2	2
3	127.221000	6	240	200	1	1
4	127.221000	6	44	35	1	1
5	127.221000	6	99	82	1	1
6	127.221000	6	43	39	1	1
7	126.656591	5	810	679	2	2
8	126.656591	5	1992	1694	2	2
9	126.656591	5	424	370	2	2
10	126.656591	5	1057	988	2	2
11	126.656591	5	190	152	2	2
12	127.221000	6	186	186	1	1
13	126.656591	5	577	477	2	2
14	126.656591	5	916	740	2	2
15	126.131913	4	650	532	2	2
16	127.221000	6	41	42	1	1
17	126.656591	5	1462	1276	2	2
18	126.656591	5	739	667	2	2
19	126.656591	5	1436	1516	2	2
20	126.131913	4	1642	2011	2	2
Ni_50_7-1_2_2	50	7	142.250200	0.000000	1461601724
1	138.635726	1	1486	1808	2	2
2	140.789851	2	911	1295	2	2
3	140.703682	7	11	12	2	2
4	140.789851	2	360	326	2	2
5	138.635726	1	1290	1071	2	2
6	138.635726	1	1405	1184	2	2
7	138.635726	1	502	414	2	2
8	140.789851	2	522	430	2	2
9	138.635726	1	331	270	2	2
10	138.635726	1	552	441	2	2
11	141.092947	2	473	383	2	2
12	140.703682	7	783	731	2	2
13	140.321661	6	1219	994	2	2
14	140.703682	7	145	124	2	2
15	138.635726	1	1267	1085	2	2
16	140.789851	2	444	347	2	2
17	138.635726	1	888	750	2	2
18	140.321661	6	483	385	2	2
19	140.321661	6	446	374	2	2
20	138.635726	1	87	73	2	2
Ni_50_7-1_2_3	50	7	138.535300	0.000000	1461601759
1	130.126405	1	311	259	2	2
2	130.126405	1	91	86	2	2
3	130.126405	1	1960	1577	2	2
4	130.126405	1	899	745	2	2
5	130.126405	1	202	172	2	2
6	130.126405	1	221	178	2	2
7	130.126405	1	53	45	2	2
8	130.126405	1	1872	1554	2	2
9	130.126405	1	421	358	2	2
10	130.126405	1	1030	821	2	2
11	130.126405	1	757	671	2	2
12	130.126405	1	27	27	2	2
13	130.126405	1	83	78	2	2
14	130.126405	1	64	85	2	2
15	130.126405	1	225	307	2	2
16	130.126405	1	433	477	2	2
17	130.126405	1	544	469	2	2
18	130.126405	1	125	118	2	2
19	130.126405	1	80	75	2	2
20	130.126405	1	352	295	2	2
Ni_50_7-1_2_4	50	7	109.713900	0.000000	1461601795
1	109.713877	5	355	284	1	1
2	109.713877	5	1960	1497	1	1
3	109.713877	5	1529	1196	1	1
4	109.899029	3	302	230	0	0
5	109.899029	3	186	139	0	0
6	109.899029	3	956	762	0	0
7	109.713877	5	262	195	1	1
8	109.713877	5	486	363	1	1
9	109.713877	5	69	59	1	1
10	109.713877	5	389	281	1	1
11	109.713877	5	542	392	1	1
12	109.713877	5	46	34	1	1
13	109.713877	5	935	699	1	1
14	109.713877	5	115	93	1	1
15	109.713877	5	201	150	1	1
16	109.713877	5	202	141	1	1
17	109.713877	5	163	124	1	1
18	109.713877	5	630	476	1	1
19	109.713877	5	213	159	1	1
20	109.899029	3	1720	1306	0	0
Ni_50_7-1_2_5	50	7	125.870400	0.000000	1461601825
1	123.788739	7	1300	1058	2	2
2	123.788739	7	841	699	2	2
3	123.697007	6	1251	968	2	2
4	123.697007	6	187	140	2	2
5	123.697007	6	33	25	2	2
6	123.697007	6	1227	939	2	2
7	123.788739	7	1746	1328	2	2
8	123.697007	6	236	197	2	2
9	123.697007	6	224	184	2	2
10	123.697007	6	308	242	2	2
11	123.788739	7	950	795	2	2
12	123.697007	6	1068	932	2	2
13	123.697007	6	201	162	2	2
14	123.697007	6	243	191	2	2
15	123.697007	6	1421	1150	2	2
16	123.788739	7	507	421	2	2
17	123.697007	6	928	722	2	2
18	123.697007	6	1073	823	2	2
19	123.697007	6	267	215	2	2
20	123.697007	6	1134	997	2	2
Ni_50_7-1_2_6	50	7	100.035500	0.000000	1461601858
1	100.035537	4	365	537	1	1
2	100.035537	4	316	267	1	1
3	100.035537	4	1501	1177	1	1
4	100.035537	4	393	331	1	1
5	102.343398	2	347	252	0	0
6	100.035537	4	502	392	1	1
7	100.035537	4	376	300	1	1
8	100.035537	4	567	440	1	1
9	100.035537	4	267	214	1	1
10	100.035537	4	33	26	1	1
11	100.035537	4	288	233	1	1
12	100.035537	4	116	85	1	1
13	100.035537	4	784	633	1	1
14	100.035537	4	208	156	1	1
15	100.035537	4	568	453	1	1
16	100.035537	4	272	200	1	1
17	100.035537	4	347	269	1	1
18	100.035537	4	276	206	1	1
19	100.035537	4	54	41	1	1
20	100.035537	4	482	388	1	1
